datetime,temp,humidity,precip,precipprob,windspeed,city
2024-08-05,28.6,40.5,0.0,0.0,14.1,Mostar
2024-08-06,28.6,47.7,0.0,0.0,14.3,Mostar
2024-08-07,29.8,45.5,0.0,0.0,11.1,Mostar
2024-08-08,25.6,66.6,1.998,100.0,28.8,Mostar
2024-08-09,29.1,49.0,0.001,100.0,17.5,Mostar
2024-08-10,30.6,39.1,0.0,0.0,21.9,Mostar
2024-08-11,31.4,39.1,0.0,0.0,14.2,Mostar
2024-08-12,29.8,40.9,0.0,0.0,16.5,Mostar
2024-08-13,30.9,46.0,0.0,0.0,11.0,Mostar
2024-08-14,30.7,47.2,0.0,0.0,7.5,Mostar
2024-08-15,30.9,48.8,0.0,0.0,11.2,Mostar
2024-08-16,31.8,52.5,0.0,0.0,11.2,Mostar
2024-08-17,31.3,51.1,0.001,100.0,10.7,Mostar
2024-08-18,29.6,57.0,0.0,0.0,16.4,Mostar
2024-08-19,22.9,91.6,22.003,100.0,10.9,Mostar
2024-08-20,26.0,71.8,2.499,100.0,11.0,Mostar
2024-08-21,26.3,69.6,1.001,100.0,11.1,Mostar
2024-08-22,28.5,54.3,0.001,100.0,14.2,Mostar
2024-08-23,28.4,57.7,0.0,0.0,10.5,Mostar
2024-08-24,29.3,57.6,0.0,0.0,10.6,Mostar
2024-08-25,30.0,52.9,0.0,0.0,14.7,Mostar
2024-08-26,30.2,44.2,0.0,0.0,14.5,Mostar
2024-08-27,28.0,58.0,1.998,100.0,21.2,Mostar
2024-08-28,27.2,67.0,14.984,100.0,11.1,Mostar
2024-08-29,27.8,54.3,0.0,0.0,14.5,Mostar
2024-08-30,28.7,45.3,0.0,0.0,18.0,Mostar
2024-08-31,29.1,42.7,0.0,0.0,14.4,Mostar
2024-09-01,29.2,39.4,0.0,0.0,11.4,Mostar
2024-09-02,27.8,46.6,0.0,0.0,10.9,Mostar
2024-09-03,27.1,55.1,0.0,0.0,17.7,Mostar
2024-09-04,25.9,63.7,0.823,100.0,12.7,Mostar
2024-09-05,26.1,64.3,0.0,0.0,14.5,Mostar
2024-09-06,25.8,72.0,0.752,100.0,25.6,Mostar
2024-09-07,25.8,68.1,0.0,0.0,7.5,Mostar
2024-09-08,26.2,63.9,0.0,0.0,10.5,Mostar
2024-09-09,21.2,90.4,35.998,100.0,12.9,Mostar
2024-09-10,22.0,63.3,2.011,100.0,49.4,Mostar
2024-09-11,23.1,48.9,0.0,0.0,21.8,Mostar
2024-09-12,21.0,73.1,0.0,0.0,31.1,Mostar
2024-09-13,18.4,86.5,9.397,100.0,25.9,Mostar
2024-09-14,14.9,72.3,13.508,100.0,10.9,Mostar
2024-09-15,14.3,72.6,0.001,100.0,25.0,Mostar
2024-09-16,16.0,63.7,0.0,0.0,14.5,Mostar
2024-09-17,18.7,63.6,1.998,100.0,14.3,Mostar
2024-09-18,21.1,58.5,0.599,100.0,20.2,Mostar
2024-09-19,17.2,89.9,20.308,100.0,10.9,Mostar
2024-09-20,18.9,79.9,5.011,100.0,10.8,Mostar
2024-09-21,21.0,63.4,0.001,100.0,14.0,Mostar
2024-09-22,19.4,68.2,0.0,0.0,10.7,Mostar
2024-09-23,19.7,75.1,0.0,0.0,7.5,Mostar
